board,mark,label,move_num
000000000000000002000000100002010001211200,2,W,640
000000000000000002000020100002010001211200,1,L,641
000000000000000102000020100002010001211200,2,W,642
000000002000000102000020100002010001211200,1,L,643
000000002000000102000020100002110001211200,2,W,644
000000002000000102000022100002110001211200,1,L,645
000000002010000102000022100002110001211200,2,W,646
000000002010000122000022100002110001211200,1,L,647
000000002110000122000022100002110001211200,2,W,648
000000002110000122000022100002110001211202,1,L,649
000100002110000122000022100002110001211202,2,W,650
000100002110000122000022100002112001211202,1,L,651
000100002110000122000022110002112001211202,2,W,652
020100002110000122000022110002112001211202,1,L,653
021100002110000122000022110002112001211202,2,W,654
021100002110000122200022110002112001211202,1,L,655
021100002110000122200022110002112011211202,2,W,656
000000000000000000000000000000000000000000,1,L,657
000000000000000000000000000000000000001000,2,W,658
000000000000000000000000000000000000201000,1,L,659
000000000000000000000000000000000000201100,2,W,660
000000000000000000000000000000000000201120,1,L,661
000000000000000000000000000000001000201120,2,W,662
000000000000000000000000000000021000201120,1,L,663
000000000000000000000000010000021000201120,2,W,664
